,logFC,logCPM,F,PValue,FDR,gene_symbol,cell_type
TPRKB,1.0617388473005236,6.169300950120186,46.74485255773498,4.001959362469453e-06,0.0005657494021292847,TPRKB,NK_cells
FXYD7,3.3496176737253904,5.154505169284683,46.718547508924594,4.0156516413489206e-06,0.0005657494021292847,FXYD7,NK_cells
CREB3,1.6544444434245023,5.07132952996993,46.43028267999719,4.16920553124003e-06,0.0005800407195337692,CREB3,NK_cells
RNF213,-1.0780467049928755,8.055830573592416,46.190382862831896,4.302046264613137e-06,0.0005911330237672126,RNF213,NK_cells
EPC1,-1.625516170847624,6.633698156895965,45.45057174800656,4.742679169971108e-06,0.0006370890070249604,EPC1,NK_cells
CMPK2,-4.8386213791333486,4.143589822460758,45.36925874382872,4.794133591112078e-06,0.0006370890070249604,CMPK2,NK_cells
STAT1,-2.0972190560382225,8.01979756621669,45.34717100062729,4.8082189209430975e-06,0.0006370890070249604,STAT1,NK_cells
PMF1,-2.0399076824002864,4.812356177533801,44.804445963353395,5.169388101554377e-06,0.0006768857596505908,PMF1,NK_cells
PGP,0.9914173467824559,6.322336910026152,44.17073235129298,5.630328313153511e-06,0.0007286692340162625,PGP,NK_cells
ING2,1.2048775884865748,5.619371157610832,43.887113306938986,5.851475212769522e-06,0.0007485852772198251,ING2,NK_cells
IRF9,-2.1653314297255997,5.1787244682491425,43.65411353195864,6.0404839006719585e-06,0.0007639839297099875,IRF9,NK_cells
PPP1R14B,1.5301427878285083,6.840910767607575,43.359529366487976,6.2893628770185485e-06,0.0007865236946204095,PPP1R14B,NK_cells
GPSM3,-1.3735767551853415,7.339318689555788,43.26380348905062,6.372706154448158e-06,0.0007880913277667556,GPSM3,NK_cells
UBTF,-1.6005112731420004,5.946875455076166,42.28524780158901,7.299915601655735e-06,0.0008907598036307634,UBTF,NK_cells
RPL23,0.9473923189714525,10.843043546496789,42.22384781956525,7.3629741180620155e-06,0.0008907598036307634,RPL23,NK_cells
USE1,-2.646434535629319,4.958658102902743,41.99172731753185,7.60696812858894e-06,0.0009103823147440311,USE1,NK_cells
ZNF580,1.5241193699909543,4.953144575110949,41.5163595528513,8.135597578647214e-06,0.0009613247905562273,ZNF580,NK_cells
UQCC2,-1.9125504370540414,5.339437914115634,41.45621763953276,8.2053778169669e-06,0.0009613247905562273,UQCC2,NK_cells
HIP1R,1.943618357816646,3.130794843527678,41.0773281630826,8.66079788506646e-06,0.0009979760313423363,HIP1R,NK_cells
FAM89B,1.1959982557304103,6.385941004822035,41.047738947651546,8.697544927242285e-06,0.0009979760313423363,FAM89B,NK_cells
TRANK1,-1.476888110097972,5.366919734961213,40.67531951264529,9.17538497649731e-06,0.001042061579473623,TRANK1,NK_cells
