,logFC,logCPM,F,PValue,FDR,gene_symbol,cell_type
MICAL1,-0.6076647548993258,2.4051938668998263,4.6024233428043,0.04762452068478073,0.11277891813225734,MICAL1,T_cells_CD4
WDR11,-0.33981443501161634,4.530377299990917,4.601661781842121,0.047640782078113626,0.11279342789393845,WDR11,T_cells_CD4
MAPKAPK3,0.38461362734741433,4.057440065026945,4.596434706436779,0.04775256870820097,0.1130340471548866,MAPKAPK3,T_cells_CD4
SPRY1,0.7932954135388391,2.262524260501221,4.593642804901629,0.04781240146796022,0.11315161138388204,SPRY1,T_cells_CD4
CDS2,0.2935611562692315,4.774577425098355,4.590949766896066,0.047870198112520135,0.11323362443981565,CDS2,T_cells_CD4
MGST2,-0.7471502544308181,2.2833036898395616,4.590488227991574,0.047880111583995286,0.11323362443981565,MGST2,T_cells_CD4
TOLLIP,0.3498710132549078,3.904547214543585,4.590371716442345,0.047882614532460004,0.11323362443981565,TOLLIP,T_cells_CD4
PRPF31,0.28264123401681013,5.419225547191521,4.590132630771224,0.047887751144493465,0.11323362443981565,PRPF31,T_cells_CD4
ZNF213-AS1,0.3738924463637265,3.2624601919804808,4.585343283224576,0.04799078250391977,0.11345314555408391,ZNF213-AS1,T_cells_CD4
AC231981.1,0.6262533596283524,2.4751346481471974,4.582583985180414,0.04805025923645592,0.11354750610605942,AC231981.1,T_cells_CD4
FOS,-0.9980864414069314,3.4289051428561423,4.58254496338138,0.048051100966715166,0.11354750610605942,FOS,T_cells_CD4
FRMD8,0.40708174446937917,3.6140060489737293,4.580150548498718,0.04810278316326091,0.11364021231325362,FRMD8,T_cells_CD4
AC000123.3,-0.8050680366113302,1.4785937909686244,4.579781577458507,0.04811075295777638,0.11364021231325362,AC000123.3,T_cells_CD4
NHP2,0.26001340437394466,6.242917166796506,4.578284457919332,0.04814310658177027,0.1136925050403359,NHP2,T_cells_CD4
TMEM164,-0.640730926588195,1.456060020386567,4.57614747672148,0.04818933183464754,0.11377717195514012,TMEM164,T_cells_CD4
RTF2,0.2564837948488693,6.224317470813231,4.575682162620889,0.04819940393247849,0.11377717195514012,RTF2,T_cells_CD4
CBFA2T2,-0.378480035792398,4.193939081602775,4.569808474711086,0.04832675538160375,0.11404712027231105,CBFA2T2,T_cells_CD4
DNAJC11,-0.4069232586941975,3.031603250747819,4.569463105846055,0.048334255734455635,0.11404712027231105,DNAJC11,T_cells_CD4
METTL22,-0.6166966957779233,2.385817597187468,4.568170655796781,0.04836233580305372,0.11408436597813006,METTL22,T_cells_CD4
ZFHX2-AS1,-0.4802877104221538,3.30576201898203,4.567793150310139,0.04837054115460878,0.11408436597813006,ZFHX2-AS1,T_cells_CD4
GPR174,-0.3120453034554494,5.942143379220155,4.565038549282913,0.0484304634162905,0.11416904252224802,GPR174,T_cells_CD4
IGBP1,0.2752828753894024,6.90268019102705,4.564874555988428,0.04843403356962883,0.11416904252224802,IGBP1,T_cells_CD4
TP53I13,0.3525512049798413,4.462170339174149,4.564728364979789,0.04843721642318555,0.11416904252224802,TP53I13,T_cells_CD4
ZNF408,0.4931770824459448,2.9633617988558933,4.561816586727875,0.04850066202811044,0.11429438246302544,ZNF408,T_cells_CD4
RARS2,-0.37177679731270014,4.584799050590834,4.560711297424654,0.04852477081373031,0.11432698966063046,RARS2,T_cells_CD4
HAGH,0.3259712886217627,6.098215980665474,4.558063206871554,0.04858258820935102,0.11441857117102862,HAGH,T_cells_CD4
TGOLN2,-0.269553841558582,6.970421696688426,4.557989350077289,0.04858420191862366,0.11441857117102862,TGOLN2,T_cells_CD4
CD151,-0.4540984378357671,3.725581169988483,4.5572806692062295,0.048599689173660233,0.1144308315004947,CD151,T_cells_CD4
SYNM,1.39149363242239,1.6260350662360377,4.549968732601838,0.04875981735392614,0.11476870759430897,SYNM,T_cells_CD4
RNF126,0.329041904618474,5.485457721603601,4.549518850998733,0.048769689588676245,0.11476870759430897,RNF126,T_cells_CD4
TPM4,-0.3702535899304328,5.885684357866381,4.549316861647698,0.04877412281411334,0.11476870759430897,TPM4,T_cells_CD4
WRAP53,0.5364292608816394,2.745519852114367,4.546500755054399,0.04883597906544488,0.1148899697734943,WRAP53,T_cells_CD4
PTDSS1,0.29681661328369385,4.712873565538624,4.545153191073671,0.048865610815060245,0.11493538638453518,PTDSS1,T_cells_CD4
DHRS13,0.4283804122754369,3.3470495586678064,4.544068540790736,0.048889476517642805,0.1149604360202198,DHRS13,T_cells_CD4
FAM161B,-0.8206962718248113,1.7395295097838452,4.543730438034186,0.04889691860913931,0.1149604360202198,FAM161B,T_cells_CD4
NBPF19,0.555459534337108,3.968398908307869,4.542192693806972,0.048930783038865514,0.11501575823074407,NBPF19,T_cells_CD4
MYO1C,0.46841418561641346,2.486400158271712,4.5401906773761445,0.048974912635605175,0.11505341533500957,MYO1C,T_cells_CD4
CHM,-0.4571934846354399,4.837713997341186,4.540142201972436,0.048975981732346116,0.11505341533500957,CHM,T_cells_CD4
TRIM39,-0.5974345729000311,2.3540808920505434,4.540059076401143,0.048977815081516204,0.11505341533500957,TRIM39,T_cells_CD4
AK3,-0.28743780808736275,4.574122827097278,4.538833089880546,0.049004863706257416,0.11508009760265053,AK3,T_cells_CD4
ABI3,0.3361329265412327,4.777236249568061,4.5386070398483405,0.04900985288738217,0.11508009760265053,ABI3,T_cells_CD4
CPSF2,-0.30817679569289214,4.930604397253493,4.5368771113647774,0.04904805394885004,0.11514550526275068,CPSF2,T_cells_CD4
EIF3J-DT,-0.3482064380809148,5.131383361101571,4.535088265664584,0.04908759248662685,0.11521402454157673,EIF3J-DT,T_cells_CD4
MAP1S,0.4214386780945425,3.400103115976705,4.533808574189762,0.04911590003395788,0.11525616010498656,MAP1S,T_cells_CD4
AL022345.4,-0.7733320928083648,1.8131265363238964,4.5302272606679725,0.0491952218649847,0.11541541064232796,AL022345.4,T_cells_CD4
Z83843.1,-0.3814694009369826,3.5942170897556336,4.529679422012802,0.04920736897947678,0.11541541064232796,Z83843.1,T_cells_CD4
MRTFB,0.4314039469983717,3.329830413913489,4.529341057175093,0.04921487321729457,0.11541541064232796,MRTFB,T_cells_CD4
OXSR1,-0.3079905552349468,4.577052580916085,4.52700290459424,0.0492667650537752,0.11550654679403898,OXSR1,T_cells_CD4
GOLGA8R,-1.0786176703524402,2.6012756503547436,4.52665503512729,0.04927449094142831,0.11550654679403898,GOLGA8R,T_cells_CD4
TMEM179B,0.28989197524405064,5.958408677321063,4.523466751008105,0.049345365757083356,0.11564833035930465,TMEM179B,T_cells_CD4
GPR180,0.4323351130948555,3.475074561541149,4.5195742497789295,0.04943205604478684,0.11582711237441633,GPR180,T_cells_CD4
AL691432.2,-0.6189873561258773,2.0002535152422416,4.623549116639523,0.04950237644321187,0.1159674699669434,AL691432.2,T_cells_CD4
CCDC61,0.5714605829957821,3.2273090305407965,4.514929000172991,0.04953574292985336,0.11602121607939139,CCDC61,T_cells_CD4
CFAP44,0.628955469395894,2.081341510203277,4.513509397882867,0.04956748043452937,0.11607112502341929,CFAP44,T_cells_CD4
DBP,0.2586366654329725,5.766077829913567,4.512881586860592,0.04958152371179208,0.11607493223533905,DBP,T_cells_CD4
MRPS25,0.287543721558661,5.028034209089113,4.512504345653273,0.04958996431078501,0.11607493223533905,MRPS25,T_cells_CD4
UBA2,0.23003259402353843,6.19399490693318,4.509399677190246,0.049659493396188734,0.11621323833044168,UBA2,T_cells_CD4
CST3,-0.6501723692884331,4.779719870125165,4.507928520996185,0.04969247957138198,0.11626598646825341,CST3,T_cells_CD4
UBTD2,0.5807463504626503,2.4262601925134235,4.507368273603519,0.04970504810905005,0.11627095112520534,UBTD2,T_cells_CD4
TGFBR3L,-1.4623343801167998,1.2459243891028278,4.50468174269941,0.049765368926714924,0.11638759322427761,TGFBR3L,T_cells_CD4
TFPT,-0.4213259699332119,4.332131012854074,4.503542293952114,0.04979097875816694,0.116423023861008,TFPT,T_cells_CD4
TMEM134,0.30297286945727364,5.9447815301319435,4.502805370330889,0.04980754975124405,0.11643730912231595,TMEM134,T_cells_CD4
SVBP,0.2999484398093857,5.170495622415671,4.501199772038048,0.04984367662057277,0.11649729541935634,SVBP,T_cells_CD4
CSNK2A1,-0.2501518055503395,5.808429370229922,4.496881033064208,0.04994100214779694,0.11670026325949609,CSNK2A1,T_cells_CD4
ELAC1,0.412145436608764,3.4106573988990485,4.4960779047095185,0.04995912553969325,0.11671810815633624,ELAC1,T_cells_CD4
B3GNTL1,-0.7278131099778863,1.9128066401628225,4.49536543155873,0.04997520961513596,0.11672258015232505,B3GNTL1,T_cells_CD4
SLC2A1,-0.6191850487862168,3.4055719623698733,4.495064094673811,0.04998201410655716,0.11672258015232505,SLC2A1,T_cells_CD4
ZNF682,0.4788150285675386,3.0167582773726638,4.493469194939834,0.050018046519480906,0.11678222315121092,ZNF682,T_cells_CD4
RFC5,0.4120611292052091,2.993905357048998,4.492391388460404,0.05004241374160581,0.11681461093625686,RFC5,T_cells_CD4
PIP5K1C,0.544473319082476,3.069828619170313,4.487775900374062,0.050146917857543785,0.11703401043289208,PIP5K1C,T_cells_CD4
YIPF4,-0.26843914827796284,5.979208591044108,4.480685748808472,0.05030794875767395,0.1173852137679059,YIPF4,T_cells_CD4
CTBP2,-0.6750922972519445,4.487847953075084,4.477060026685738,0.05039052844730665,0.11755325542203375,CTBP2,T_cells_CD4
URI1,-0.3065476171362997,6.572665177706264,4.473752652188445,0.05046599510487257,0.1176415324549654,URI1,T_cells_CD4
MON2,-0.3438001879026064,4.39097178004086,4.473167556870074,0.05047935932552127,0.1176415324549654,MON2,T_cells_CD4
GLUD1P3,0.5252800683506842,1.9838529316861815,4.473132569892591,0.05048015859713226,0.1176415324549654,GLUD1P3,T_cells_CD4
PLCG2,-1.1947135278321874,2.558144299246605,4.47281661140514,0.05048737728302956,0.1176415324549654,PLCG2,T_cells_CD4
CCDC152,0.3588526352962463,4.205349962796683,4.472750952398082,0.0504888775415275,0.1176415324549654,CCDC152,T_cells_CD4
AC139720.1,-0.6100230825093634,2.0982235137163943,4.577474844401317,0.050501854690495056,0.1176415324549654,AC139720.1,T_cells_CD4
CBFB,-0.34353925604393115,4.438777554941704,4.4721610899937545,0.050502357778061516,0.1176415324549654,CBFB,T_cells_CD4
RPS19,0.32040642671511865,12.816798069894794,4.469277053784428,0.05056832756692924,0.11777055572712335,RPS19,T_cells_CD4
UNK,-0.4700305442470717,3.4305509268778627,4.465731002917306,0.05064957794091656,0.11791311931927662,UNK,T_cells_CD4
SPINT2,0.4814735630624325,4.844393825065332,4.465680776279862,0.05065072987111065,0.11791311931927662,SPINT2,T_cells_CD4
USP13,-0.7227582208127921,1.7497596393340067,4.459467576709587,0.05079346300948502,0.11822066986523803,USP13,T_cells_CD4
RCBTB1,0.5362198484039559,2.687166562541666,4.45856543847581,0.050814226358035015,0.11824426915428178,RCBTB1,T_cells_CD4
DNAJB14,-0.24320643188460167,6.344686740997898,4.4579030471929935,0.05082947805443171,0.11825503569101692,DNAJB14,T_cells_CD4
TMEM120B,0.34323834740134734,5.298517067941068,4.453325679753496,0.05093501871776195,0.11847581156294473,TMEM120B,T_cells_CD4
QPCT,-0.9384177033519794,1.2873956473376436,4.447222337956275,0.05107614115366764,0.11877924175518613,QPCT,T_cells_CD4
ZNF613,-0.6717116032435491,1.699950371302065,4.440622196759892,0.05122926345815391,0.11911044543330958,ZNF613,T_cells_CD4
PCYT1A,-0.31788995542480103,4.44558805504343,4.437311200930293,0.05130627943449105,0.11926459693105375,PCYT1A,T_cells_CD4
RIC8A,0.34771279468975425,4.563520407349247,4.4355012266686895,0.05134843765687625,0.11931690164474514,RIC8A,T_cells_CD4
TXNRD1,-0.2834894998239311,5.185044412702659,4.435424704044645,0.05135022092347971,0.11931690164474514,TXNRD1,T_cells_CD4
TSPAN3,-0.2955793675765289,4.931225146217169,4.432451289366782,0.051419568628572866,0.11945309931872594,TSPAN3,T_cells_CD4
PITHD1,0.237737625692888,6.210239558634048,4.423014682396607,0.05164037831622492,0.11988382996164672,PITHD1,T_cells_CD4
GABPB1-AS1,0.4052825088330922,6.515480322587032,4.422797597428189,0.05164547092891054,0.11988382996164672,GABPB1-AS1,T_cells_CD4
CRTAM,-1.041502622439737,3.2977406308994786,4.422235420056407,0.051658661810172195,0.11988382996164672,CRTAM,T_cells_CD4
LSM1,0.27562841559752516,5.855387808004641,4.422234036667124,0.05165869427473975,0.11988382996164672,LSM1,T_cells_CD4
TSR3,0.2875707871638561,5.711947190364362,4.422056735882594,0.05166285526221319,0.11988382996164672,TSR3,T_cells_CD4
UPF1,-0.40128715059755377,4.346792074308235,4.4215965364049925,0.05167365728627668,0.11988382996164672,UPF1,T_cells_CD4
GAB3,-0.8752768141379479,4.3740787580855445,4.421310235365605,0.05168037881006118,0.11988382996164672,GAB3,T_cells_CD4
TPCN1,0.406549278243215,2.7641401373492505,4.416448403443629,0.05179467629014241,0.12012393146682329,TPCN1,T_cells_CD4
RPS26P8,1.3093448203160016,1.7129062658533938,4.4147131973055345,0.05183554078824198,0.12017951177815409,RPS26P8,T_cells_CD4
ANKS3,0.3130534406352561,3.5983401000690534,4.414505702213094,0.051840429858872175,0.12017951177815409,ANKS3,T_cells_CD4
MFN1,0.33840419727411214,4.266596188232129,4.414055707232167,0.05185103464139226,0.12017951177815409,MFN1,T_cells_CD4
PLCL2,-0.4152461164753536,4.769718475261736,4.411290203498455,0.051916263265167344,0.12029714159777369,PLCL2,T_cells_CD4
BRWD1,0.25737778639132813,5.711771176777343,4.4109877726018425,0.05192340235720618,0.12029714159777369,BRWD1,T_cells_CD4
ZNF605,-0.3963454527346062,3.8172761624258422,4.409724541937266,0.05195323416741856,0.12034120630247006,ZNF605,T_cells_CD4
BEX4,0.2977898684955424,5.841009974009339,4.408207121670155,0.051989095196746236,0.12039921546812019,BEX4,T_cells_CD4
PEX26,-0.35568632389523247,4.360868175711751,4.401274603657345,0.05215329799954394,0.12073457180081686,PEX26,T_cells_CD4
COG5,-0.3379399851037167,4.6517561680796025,4.400991687977211,0.05216001193138005,0.12073457180081686,COG5,T_cells_CD4
ST8SIA4,0.33358346646429393,4.7433281791180475,4.400395344668968,0.05217416717990826,0.12073457180081686,ST8SIA4,T_cells_CD4
IMMP2L,-0.40492510694852124,3.5545320426888543,4.400263610175245,0.052177294731530016,0.12073457180081686,IMMP2L,T_cells_CD4
ATF6B,0.321962394917939,5.2415990850169285,4.399330933778931,0.05219944395657465,0.12076071736368237,ATF6B,T_cells_CD4
SNX13,-0.3228601089548737,4.0603940806474155,4.396525550208998,0.052266132359285775,0.12088986973375951,SNX13,T_cells_CD4
BCAS2,-0.23973854166257041,5.949056486147083,4.395252901900173,0.05229641795638124,0.12093478742042867,BCAS2,T_cells_CD4
DXO,-0.5148827650755223,2.646845202865848,4.394037920587797,0.05232535031891715,0.1209415010955429,DXO,T_cells_CD4
COMMD7,-0.33787605162045053,5.456767492525266,4.3937754216905525,0.05233160365816386,0.1209415010955429,COMMD7,T_cells_CD4
NUDT16L1,-0.3183535817257973,5.41562318938217,4.393762144676881,0.052331919970901586,0.1209415010955429,NUDT16L1,T_cells_CD4
NEMP1,0.41028568904203544,2.88962040679653,4.391755612768555,0.052379749387971984,0.12102690693131163,NEMP1,T_cells_CD4
C2ORF74,-0.8434148740403047,1.7758618957094892,4.391077826088824,0.05239591720311706,0.12103913625377602,C2ORF74,T_cells_CD4
PMS2P3,0.6009754316350893,2.163266042476105,4.389812434904414,0.05242611721043863,0.12108376936131603,PMS2P3,T_cells_CD4
BACH2,-0.3850277221310326,3.98376366992372,4.38788048691313,0.05247226449908646,0.12116520827278676,BACH2,T_cells_CD4
AGTPBP1,0.23030084175790344,5.189417607914263,4.38446963816541,0.052553853037628696,0.12132843482862629,AGTPBP1,T_cells_CD4
BCCIP,0.2936261722412427,5.3686406539642535,4.38223918942326,0.052607286012367235,0.12140158831456568,BCCIP,T_cells_CD4
SMAGP,-0.42866569575146374,3.632548220573123,4.382236314041608,0.0526073549363118,0.12140158831456568,SMAGP,T_cells_CD4
CCS,0.26542048812095237,5.16585808611321,4.38013397825827,0.05265777687453121,0.12146860205054105,CCS,T_cells_CD4
FBH1,0.3327035948347893,4.301858883975551,4.38011545160064,0.052658221463958724,0.12146860205054105,FBH1,T_cells_CD4
KDM1B,0.4292052990831673,3.2196640526195117,4.378268678649997,0.05270256095962921,0.12151207617047136,KDM1B,T_cells_CD4
CEP350,-0.2871533869186518,6.383813039174805,4.377970108769755,0.05270973346220605,0.12151207617047136,CEP350,T_cells_CD4
ADAM17,-0.26779981217779997,4.5315932032629505,4.377966480005534,0.05270982064250096,0.12151207617047136,ADAM17,T_cells_CD4
LBHD1,-0.8892772914646122,1.3383443223428784,4.3722953047397,0.05284627506977445,0.12180141675845715,LBHD1,T_cells_CD4
DPYD,0.3606842744031421,5.3131867474038605,4.366034065859117,0.05299740560846225,0.12212445640210866,DPYD,T_cells_CD4
GPR89A,0.46556822032464373,3.2531895735932808,4.35964674867274,0.05315209881966263,0.12245557024691472,GPR89A,T_cells_CD4
EIF5A,0.3951740094929108,7.621251633020846,4.357548377404547,0.053203033709183147,0.12254755074155803,EIF5A,T_cells_CD4
SS18L1,0.5462657334320976,2.742356720880533,4.356954417066155,0.053217461559315275,0.12255542047489738,SS18L1,T_cells_CD4
NOP14,-0.3162069039296518,4.766659252737101,4.352005779568951,0.05333784608280333,0.12280724594571804,NOP14,T_cells_CD4
DBR1,-0.3230894692751583,3.7380636064697157,4.349918511280261,0.053388717836689754,0.12289895129728169,DBR1,T_cells_CD4
TRIM52-AS1,0.3430072096926907,4.235164596241605,4.348120554571197,0.053432583732652736,0.12297449481894643,TRIM52-AS1,T_cells_CD4
CTR9,0.30548352569010784,5.700372402989483,4.347190373596292,0.05345529444622325,0.12300132875469605,CTR9,T_cells_CD4
SF3B5,0.26044150053046655,7.63735345347381,4.346027199349467,0.05348370961734758,0.12304127491547717,SF3B5,T_cells_CD4
DIP2A,-0.5540222555819475,4.965193821452672,4.344856364021121,0.05351232973070481,0.12305775002465914,DIP2A,T_cells_CD4
DMWD,-0.5069301660049107,2.838180288951781,4.344829613327473,0.05351298383821656,0.12305775002465914,DMWD,T_cells_CD4
SLC7A6,-0.3009019197210688,4.205271522235181,4.343964909558752,0.053534132582929696,0.1230809534492889,SLC7A6,T_cells_CD4
MT-ND4,0.29706966386691797,11.648255909948872,4.341056796407345,0.053605330155238114,0.1232191913729451,MT-ND4,T_cells_CD4
ZSWIM9,0.39832536410024255,2.8753337830888737,4.339228949208177,0.05365013674560487,0.12329672144922202,ZSWIM9,T_cells_CD4
FLJ20021,0.5446029977394024,2.4653372875878166,4.335766465328149,0.05373513348706463,0.12345785383590821,FLJ20021,T_cells_CD4
RNF14,-0.43050914157230963,3.6049465301545807,4.33546932294466,0.05374243502560425,0.12345785383590821,RNF14,T_cells_CD4
SNX25,0.5939706234467719,2.5313805970200356,4.334321856190084,0.05377064204463392,0.12348043893284566,SNX25,T_cells_CD4
AC091271.1,0.6179979334568461,2.5531461903743975,4.333607794183642,0.053788203827026704,0.12348043893284566,AC091271.1,T_cells_CD4
GZMA,-0.927644481812019,9.14421283943406,4.333519688627767,0.05379037117610619,0.12348043893284566,GZMA,T_cells_CD4
DNAJB4,-0.39456270753595607,3.6019880200897245,4.332414667421645,0.05381756275241443,0.12348043893284566,DNAJB4,T_cells_CD4
TMEM116,-0.3478705059904493,4.21855618648765,4.33238255788241,0.05381835312078852,0.12348043893284566,TMEM116,T_cells_CD4
SLC16A1,0.4324536170941881,2.958151485992985,4.332363069955294,0.05381883281790066,0.12348043893284566,SLC16A1,T_cells_CD4
TMEM104,0.6459085285479531,1.9741169969873122,4.3314137886300506,0.053842205503626575,0.12350860413342205,TMEM104,T_cells_CD4
CPSF3,0.32131143481938057,4.2469924189694375,4.329947364397532,0.053878334272944556,0.12356601286995114,CPSF3,T_cells_CD4
NUP85,-0.41503002582186693,3.6481606546628615,4.328635412188344,0.05391068123154516,0.12361034895603322,NUP85,T_cells_CD4
MANBA,0.34807140115222257,3.9721942609931022,4.328262562944127,0.053919878183426896,0.12361034895603322,MANBA,T_cells_CD4
EXOC1,-0.2871733061379553,5.190722783842205,4.327720563472102,0.05393325077319331,0.12361554388501678,EXOC1,T_cells_CD4
TMEM168,-0.35693063187615504,4.306922957287013,4.326905580774498,0.0539533658780435,0.12363618740428746,TMEM168,T_cells_CD4
CROCCP2,-0.4914124460382415,4.333082943230144,4.3236140981625235,0.05403469413535342,0.12379706581442641,CROCCP2,T_cells_CD4
NDUFA7,-0.3255846674223954,4.3075526825353325,4.322881492016199,0.05405281533153409,0.12381309624201985,NDUFA7,T_cells_CD4
CEBPZ,-0.3334219352720256,6.620797602682292,4.321219154584607,0.0540939599612867,0.12388184657800842,CEBPZ,T_cells_CD4
PWWP2B,-0.6222672695326411,2.2627382034077903,4.3199562716972935,0.05412524208434088,0.12392798691600783,PWWP2B,T_cells_CD4
PHF7,0.490213781774203,2.8664753390388267,4.317189561522534,0.05419384840706759,0.1240595501379396,PHF7,T_cells_CD4
UBE3B,-0.4892076135362511,3.4696816905758854,4.31541315726841,0.05423795151549564,0.12413497848395363,UBE3B,T_cells_CD4
TFIP11,-0.3254864359389419,4.038266536325058,4.313152474279409,0.054294138460268544,0.12423802653429047,TFIP11,T_cells_CD4
TIAM1,-0.5342072932538403,4.305512165419836,4.310450746350448,0.05436137621191083,0.12436007065717664,TIAM1,T_cells_CD4
PIK3CB,-0.3652884630284584,3.541997128405363,4.310111710004631,0.05436982064850148,0.12436007065717664,PIK3CB,T_cells_CD4
SARS2,-0.6764171199280908,1.4880115897441832,4.309411773422856,0.054387258930762676,0.12437439734937099,SARS2,T_cells_CD4
RAB33A,0.28666673443117696,4.381507431731603,4.308839894520836,0.054401511616354745,0.12438143473500993,RAB33A,T_cells_CD4
NT5C2,-0.3251777904258011,3.7634353929648676,4.307986866427339,0.054422779357551514,0.12440450487770555,NT5C2,T_cells_CD4
AC006077.2,-0.47380589449571253,2.4725213810088227,4.307122574214521,0.05444433783019075,0.12442822998973779,AC006077.2,T_cells_CD4
ALKBH6,-0.4851449565977893,2.8667254124400565,4.30553383800919,0.054483992467340286,0.12449329422325958,ALKBH6,T_cells_CD4
TMED9,0.2177528804212898,6.527576004146167,4.3011965102998495,0.054592423263407755,0.12470384936834529,TMED9,T_cells_CD4
AL139384.1,0.593874544158929,1.6694002826431302,4.300951748152668,0.05459854968301407,0.12470384936834529,AL139384.1,T_cells_CD4
ZNF195,-0.2908120126165094,4.33341444828633,4.2993951406980475,0.05463753049263737,0.12475302615755114,ZNF195,T_cells_CD4
SMARCC1,-0.2447327421764661,5.269825861404469,4.298659779641191,0.05465595681344509,0.12475302615755114,SMARCC1,T_cells_CD4
SDR42E2,-0.9522503508917955,1.8404708454694574,4.298414374566495,0.05466210766837011,0.12475302615755114,SDR42E2,T_cells_CD4
RPS6KA2,0.6095344209112078,1.5901699767641784,4.2983023625891565,0.05466491541512821,0.12475302615755114,RPS6KA2,T_cells_CD4
CCDC97,-0.41129783296373507,3.823638294557345,4.286992370021097,0.05494928554131137,0.12537629111824428,CCDC97,T_cells_CD4
EP400,-0.26584323568486407,4.235038481744935,4.283795526460899,0.05502997730522824,0.1255116628408424,EP400,T_cells_CD4
TMEM175,0.4854708765298907,2.740745263777177,4.283316064709488,0.055042091356129835,0.1255116628408424,TMEM175,T_cells_CD4
CXCL9,-0.739922031393208,4.059513994924314,4.283302021781146,0.05504244621079529,0.1255116628408424,CXCL9,T_cells_CD4
C6ORF106,-0.3396237486166304,4.473883168090343,4.281462675257869,0.055088948255685936,0.12559196929245894,C6ORF106,T_cells_CD4
TRGV7,-3.574913711953582,0.7493019027380694,4.37299420952012,0.055235536686691906,0.12588480985592887,TRGV7,T_cells_CD4
ERCC2,0.7241300288710663,1.8251587120087387,4.275499690828806,0.055240018987992516,0.12588480985592887,ERCC2,T_cells_CD4
ZBTB22,0.5025704517803571,2.5067091655381035,4.2701119413034645,0.05537693223964377,0.12617098379267863,ZBTB22,T_cells_CD4
DIP2B,-0.4336400589489634,3.5977167777506023,4.269061924265932,0.05540366132244382,0.12620604799811702,DIP2B,T_cells_CD4
ATP5F1A,0.2240104518617367,7.038095426947614,4.268221287466959,0.055425071306639394,0.12621375952837438,ATP5F1A,T_cells_CD4
ZNF525,-0.43331837931803646,3.27828048076207,4.267931014457344,0.05543246644577503,0.12621375952837438,ZNF525,T_cells_CD4
ACTB,-0.41751515790803007,10.828888045174521,4.267151525443757,0.05545233079427776,0.12621375952837438,ACTB,T_cells_CD4
RDH13,-0.5422700646139805,3.0167749122334837,4.2671485562146945,0.05545240647742594,0.12621375952837438,RDH13,T_cells_CD4
ITGB7,-0.3452285667856754,5.3344593181470925,4.263562946783425,0.05554388869537564,0.12639613191157859,ITGB7,T_cells_CD4
POP7,0.29409870660042303,4.887806300646708,4.260982084869054,0.05560984512012992,0.12652035490332095,POP7,T_cells_CD4
POLR2J3-1,0.3731365777212216,6.610348807506843,4.255675676490429,0.055745742990255205,0.12680362139414275,POLR2J3-1,T_cells_CD4
UBAP2L,-0.25350971435326225,4.784326081077787,4.248218019178244,0.05593739056140386,0.12721355883703003,UBAP2L,T_cells_CD4
DNAAF5,0.6013570376920007,2.552456850660566,4.247368001595556,0.05595928318971858,0.1272373487030782,DNAAF5,T_cells_CD4
KRTCAP2,0.3623338078821998,6.958892580198807,4.246530766465498,0.0559808563797631,0.127260402677035,KRTCAP2,T_cells_CD4
HGS,-0.35348829660103076,3.842046806682784,4.246079228428115,0.055992495273334,0.1272608683667975,HGS,T_cells_CD4
AL162578.1,-0.5512266536209859,2.892418281033768,4.241573545539725,0.05610878914149595,0.12749914723251327,AL162578.1,T_cells_CD4
AC010175.1,-0.962363950260712,1.6260838327329097,4.239727108026523,0.05615652804641052,0.12758157933385364,AC010175.1,T_cells_CD4
ZBTB20,-0.32128775903981016,5.8898982870360825,4.237413944979517,0.05621640089671121,0.12766670090596247,ZBTB20,T_cells_CD4
HIST1H2BF,0.5188830406242618,2.952952125033364,4.237393272452104,0.05621693631088248,0.12766670090596247,HIST1H2BF,T_cells_CD4
WIPI2,0.2539960313763606,5.8627375372513075,4.236584854593631,0.05623787883607208,0.12768820714922116,WIPI2,T_cells_CD4
LINC02328,-0.5066711403519217,2.636689665401261,4.233226120690548,0.05632498636468531,0.12784364325158504,LINC02328,T_cells_CD4
FLJ37453,-0.33474930660240165,3.9977206635411258,4.2330595444443295,0.05632931055757169,0.12784364325158504,FLJ37453,T_cells_CD4
CBLB,-0.3040580529644225,5.62013979681799,4.229551677151194,0.05642046223730792,0.12799019439911996,CBLB,T_cells_CD4
RAB3GAP1,-0.4552527244579202,4.793121623397424,4.2292024873271865,0.05642954533331743,0.12799019439911996,RAB3GAP1,T_cells_CD4
CCDC14,0.27615563481946026,4.7962031150242375,4.229132842921628,0.05643135712193146,0.12799019439911996,CCDC14,T_cells_CD4
RAB40C,0.48967618751010306,2.373922702124673,4.2288052285102635,0.05643988087249602,0.12799019439911996,RAB40C,T_cells_CD4
CYB5A,0.32288369304595027,5.443637325875894,4.227316625766837,0.05647862973056651,0.12805197573868513,CYB5A,T_cells_CD4
IGFLR1,-0.4408637327341794,3.1901151287374807,4.223198342066733,0.05658599210121734,0.12826202647576596,IGFLR1,T_cells_CD4
TTC39C,-0.31334127200375844,6.843108425301554,4.222879171221726,0.05659432273337705,0.12826202647576596,TTC39C,T_cells_CD4
MAP3K7,0.2780503160564334,4.245150919633923,4.21790636165888,0.05672430252171385,0.12853043303474657,MAP3K7,T_cells_CD4
PPM1K,-0.225078663375711,6.545200648701168,4.216381038374413,0.05676424142824556,0.12859475007050133,PPM1K,T_cells_CD4
