,logFC,logCPM,F,PValue,FDR,gene_symbol,cell_type
GXYLT1,-0.818926224859922,3.9714432791652867,13.729059631877853,0.0019219007204160402,0.009981686896047844,GXYLT1,T_cells_CD4
LCP2,-0.5620583219025965,6.020069347855189,13.724701595995123,0.0019242887874776203,0.009989170773289233,LCP2,T_cells_CD4
BMPR2,0.5877605691216023,4.159071615070601,13.723155719987915,0.0019251366854182753,0.009989170773289233,BMPR2,T_cells_CD4
ZC2HC1A,0.7658662781142591,3.5446366304047423,13.718518467003378,0.0019276827099782617,0.009997720671974861,ZC2HC1A,T_cells_CD4
DDIT4,-0.6375574260034935,6.404835140219395,13.713849187886938,0.0019302501671842605,0.010006373712510862,DDIT4,T_cells_CD4
MAP3K2,-0.5068416840622425,5.549397917204706,13.71194497909609,0.0019312983286865174,0.010007146367914775,MAP3K2,T_cells_CD4
MIB2,0.5161248454123776,5.012646466585976,13.708963362947522,0.0019329408368698392,0.010007383500277734,MIB2,T_cells_CD4
IGKC,0.9958577440187417,5.452144084909826,13.7085977293776,0.001933142365282761,0.010007383500277734,IGKC,T_cells_CD4
CIP2A,1.4169875598909134,1.4308242473237018,13.704359733739055,0.00193547998150447,0.010014826682540563,CIP2A,T_cells_CD4
ADCY9,0.9865160282141493,1.871699323090314,13.70054036601125,0.0019375894283965866,0.010017371457563012,ADCY9,T_cells_CD4
PSMA1,0.4448433375651261,7.360051544711607,13.699424700699716,0.001938206104000735,0.010017371457563012,PSMA1,T_cells_CD4
ZNF880,0.8852122820150653,3.867117936495446,13.69858228771224,0.0019386718885526261,0.010017371457563012,ZNF880,T_cells_CD4
AC004908.2,1.1818220845768408,1.4868479103583996,13.69286535224001,0.001941836227483572,0.01002601421096709,AC004908.2,T_cells_CD4
GUK1,0.4126007888929269,8.086331258654923,13.691419477493277,0.0019426374483879224,0.01002601421096709,GUK1,T_cells_CD4
